codigo_ocorrencia,classificacao,tipo,tipo_categoria,tipo_icao,latitude,longitude,cidade,ocorrencia_uf,ocorrencia_pais,aerodromo,data,status,relatorio_numero,divulgacao_relatorio_publicado,total_recomendacoes,aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201411014370613,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-7.8444,-34.8914,Igarassu,PE,BRASIL,SIFC,2014-11-01 13:50:00,Finalizada,A-182/CENIPA/2014,SIM,0,1,NÃO,2018-08-28
201711131727593,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-7.8214,-34.85,Igarassu,PE,BRASIL,****,2017-11-11 12:50:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201005274954737,Acidente,Outros,Outros,OTHR,-22.1339,-48.5205,Bocaina,SP,BRASIL,****,2010-05-27 12:00:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
200909095984934,Incidente,Outros,Outros,OTHR,-2.4362,-54.7186,Santarém,PA,BRASIL,****,2009-09-09 19:01:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200907037531573,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2009-07-03 19:38:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201110208057433,Incidente,Tráfego Aéreo,Colisao Decolagem/Pouso,MAC,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2011-10-20 15:11:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201008067561057,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-2.5517,-54.7,Santarém,PA,BRASIL,****,2010-08-06 20:20:00,Finalizada,A-076/CENIPA/2011,SIM,2,1,NÃO,2018-08-28
201411128888658,Incidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-11-12 16:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201302251082552,Incidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SNCJ,2013-02-25 18:37:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201410093493029,Incidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-10-09 14:38:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201508061245849,Incidente,Outros,Outros,OTHR,-2.4247,-54.7858,Santarém,PA,BRASIL,SBSN,2015-08-06 14:19:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200804031050631,Incidente,Falha Ou Mau Funcionamento De Sistema / Componente ,Falha Ou Mau Funcionamento De Sistema / Componente ,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,****,2008-04-03 17:11:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200904085268490,Incidente Grave,Com Trem De Pouso,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2009-04-08 13:47:00,Ativa,A DEFINIR,NÃO,0,1,SIM,2018-08-28
201806281409374,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-2.4247,-54.7858,Santarém,PA,BRASIL,SBSN,2018-06-28 11:50:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201405139147550,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-05-13 11:43:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200907062708987,Incidente,Superaquecimento,Problema Motor,SCF-PP,-2.4362,-54.7186,Santarém,PA,BRASIL,****,2009-07-06 09:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201702131356307,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-2.4275,-54.7567,Santarém,PA,BRASIL,****,2017-02-09 19:40:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201709092348525,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-2.4175,-54.8372,Santarém,PA,BRASIL,****,2017-09-07 19:40:00,Ativa,A-113/CENIPA/2017,NÃO,0,1,NÃO,2018-08-28
201410175962946,Incidente,Perda De Componente Em Voo,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-10-17 10:27:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201405164041069,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-05-16 12:10:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201009115374165,Incidente,Colisão Com Aeronave No Solo,Colisão No Solo,GCOL,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2010-09-11 16:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200803201682215,Incidente Grave,Vazamento De Outros Fluidos,Outros,OTHR,-2.4362,-54.7186,Santarém,PA,BRASIL,****,2008-03-20 01:00:00,Ativa,A DEFINIR,NÃO,0,1,SIM,2018-08-28
201208318856193,Incidente,Outros,Outros,OTHR,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2012-08-31 12:10:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201607251952107,Acidente,Colisão De Aeronaves Em Voo,Colisao Decolagem/Pouso,MAC,-2.5744,-54.7314,Santarém,PA,BRASIL,SNSH,2016-07-19 15:30:00,Finalizada,A-102/CENIPA/2016,SIM,0,2,NÃO,2018-08-28
201401088386414,Incidente Grave,Pouso Brusco,Contato Anormal Com A Pista,ARC,-2.4247,-54.7858,Santarém,PA,BRASIL,SBSN,2014-01-08 15:15:00,Finalizada,IG-007/CENIPA/2014,SIM,0,1,SIM,2018-08-28
201312186091519,Incidente,Superaquecimento,Problema Motor,SCF-PP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2013-12-18 01:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201103113320548,Acidente,Pane Seca,Combustível,FUEL,-2.4362,-54.7186,Santarém,PA,BRASIL,****,2011-03-11 17:26:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201509269369963,Incidente,Vazamento De Outros Fluidos,Outros,OTHR,-2.4236,-54.7858,Santarém,PA,BRASIL,SBSN,2015-09-26 11:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201711192316516,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-2.5436,-54.715,Santarém,PA,BRASIL,SNCJ,2017-11-17 17:15:00,Ativa,A-145/CENIPA/2017,NÃO,0,1,SIM,2018-08-28
201109297463367,Acidente,Perda De Componente Em Voo,Problema Sistema,SCF-NP,-2.5975,-54.7481,Santarém,PA,BRASIL,****,2011-09-29 18:24:00,Finalizada,A-033/CENIPA/2013,SIM,2,1,NÃO,2018-08-28
200809111658940,Acidente,Outros,Outros,OTHR,-2.3917,-54.8147,Santarém,PA,BRASIL,****,2008-09-11 19:27:00,Finalizada,A-554/CENIPA/2014,SIM,0,1,NÃO,2018-08-28
201409304470097,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-2.4362,-54.7186,Santarém,PA,BRASIL,SBSN,2014-09-30 11:47:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201001239124746,Incidente Grave,Falha Ou Mau Funcionamento De Sistema / Componente ,Falha Ou Mau Funcionamento De Sistema / Componente ,SCF-NP,-25.4033,-49.2336,Curitiba,PR,BRASIL,SBBI,2010-01-23 16:36:00,Finalizada,IG-029/CENIPA/2011,SIM,2,1,SIM,2018-08-28
201207014978262,Incidente Grave,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-25.4033,-49.2336,Curitiba,PR,BRASIL,SBBI,2012-07-01 11:05:00,Finalizada,IG-125/CENIPA/2013,SIM,0,1,SIM,2018-08-28
200810103717167,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-25.4033,-49.2336,Curitiba,PR,BRASIL,SBBI,2008-10-10 21:13:00,Finalizada,A-540/CENIPA/2016,SIM,4,1,SIM,2018-08-28
201709251410195,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-25.4033,-49.2336,Curitiba,PR,BRASIL,SBBI,2017-09-20 17:28:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201203287928810,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-25.433000000000003,-49.2718,Curitiba,PR,BRASIL,SBBI,2012-03-28 21:40:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200901194877811,Incidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-25.433000000000003,-49.2718,Curitiba,PR,BRASIL,SBBI,2009-01-19 22:20:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
